rank,ticker,name,score_total
1,NVDA,Nvidia,0.8387096774193548
2,MSFT,Microsoft,0.8143292743264984
3,GOOG,Alphabet Inc. (Class C),0.6530192306531082
4,AAPL,Apple Inc.,0.6137091768545266
5,AMZN,Amazon,0.5731157235476538
6,AVGO,Broadcom,0.5589021683064022
7,LIN,Linde plc,0.5097921460090997
8,HD,Home Depot (The),0.5059030891362948
9,WSM,"Williams-Sonoma, Inc.",0.5023221377751258
10,WY,Weyerhaeuser,0.501650922542318
11,WAT,Waters Corporation,0.4934563866491183
12,IP,International Paper,0.4902617111109553
13,DLTR,Dollar Tree,0.4901254178212123
14,AMCR,Amcor,0.4896686992639472
15,BALL,Ball Corporation,0.4890492899847855
